id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
711750,7117,2,"大城","d","da cheng","711750000000","大城乡"
711751,7117,2,"芳苑","f","fang yuan","711751000000","芳苑乡"
711752,7117,2,"二水","e","er shui","711752000000","二水乡"
7119,71,1,"嘉义县","j","jia yi xian","711900000000","嘉义县"
711919,7119,2,"番路","f","fan lu","711919000000","番路乡"
711920,7119,2,"梅山","m","mei shan","711920000000","梅山乡"
711921,7119,2,"竹崎","z","zhu qi","711921000000","竹崎乡"
711922,7119,2,"阿里山","a","a li shan","711922000000","阿里山乡"
711923,7119,2,"中埔","z","zhong bu","711923000000","中埔乡"
711924,7119,2,"大埔","d","da bu","711924000000","大埔乡"
711925,7119,2,"水上","s","shui shang","711925000000","水上乡"
711926,7119,2,"鹿草","l","lu cao","711926000000","鹿草乡"
711927,7119,2,"太保","t","tai bao","711927000000","太保市"
711928,7119,2,"朴子","p","piao zi","711928000000","朴子市"
711929,7119,2,"东石","d","dong shi","711929000000","东石乡"
711930,7119,2,"六脚","l","liu jiao","711930000000","六脚乡"
711931,7119,2,"新港","x","xin gang","711931000000","新港乡"
711932,7119,2,"民雄","m","min xiong","711932000000","民雄乡"
711933,7119,2,"大林","d","da lin","711933000000","大林镇"
711934,7119,2,"溪口","x","xi kou","711934000000","溪口乡"
711935,7119,2,"义竹","y","yi zhu","711935000000","义竹乡"
711936,7119,2,"布袋","b","bu dai","711936000000","布袋镇"
7121,71,1,"云林","y","yun lin","712100000000","云林县"
712121,7121,2,"斗南","d","dou nan","712121000000","斗南镇"
712122,7121,2,"大埤","d","da pi","712122000000","大埤乡"
712123,7121,2,"虎尾","h","hu wei","712123000000","虎尾镇"
712124,7121,2,"土库","t","tu ku","712124000000","土库镇"
712125,7121,2,"褒忠","b","bao zhong","712125000000","褒忠乡"
712126,7121,2,"东势","d","dong shi","712126000000","东势乡"
712127,7121,2,"台西","t","tai xi","712127000000","台西乡"
712128,7121,2,"仑背","l","lun bei","712128000000","仑背乡"
712129,7121,2,"麦寮","m","mai liao","712129000000","麦寮乡"
712130,7121,2,"斗六","d","dou liu","712130000000","斗六市"
712131,7121,2,"林内","l","lin nei","712131000000","林内乡"
712132,7121,2,"古坑","g","gu keng","712132000000","古坑乡"
712133,7121,2,"莿桐","c","ci tong","712133000000","莿桐乡"
712134,7121,2,"西螺","x","xi luo","712134000000","西螺镇"
712135,7121,2,"二仑","e","er lun","712135000000","二仑乡"
712136,7121,2,"北港","b","bei gang","712136000000","北港镇"
712137,7121,2,"水林","s","shui lin","712137000000","水林乡"
712138,7121,2,"口湖","k","kou hu","712138000000","口湖乡"
712139,7121,2,"四湖","s","si hu","712139000000","四湖乡"
712140,7121,2,"元长","y","yuan chang","712140000000","元长乡"
7124,71,1,"屏东","p","ping dong","712400000000","屏东县"
712434,7124,2,"屏东市","p","ping dong shi","712434000000","屏东市"
712435,7124,2,"三地门","s","san di men","712435000000","三地门乡"
712436,7124,2,"雾台","w","wu tai","712436000000","雾台乡"
712437,7124,2,"玛家","m","ma jia","712437000000","玛家乡"
712438,7124,2,"九如","j","jiu ru","712438000000","九如乡"
712439,7124,2,"里港","l","li gang","712439000000","里港乡"
712440,7124,2,"高树","g","gao shu","712440000000","高树乡"
712441,7124,2,"盐埔","y","yan bu","712441000000","盐埔乡"
712442,7124,2,"长治","c","chang zhi","712442000000","长治乡"
712443,7124,2,"麟洛","l","lin luo","712443000000","麟洛乡"
712444,7124,2,"竹田","z","zhu tian","712444000000","竹田乡"
712445,7124,2,"内埔","n","nei bu","712445000000","内埔乡"
712446,7124,2,"万丹","w","wan dan","712446000000","万丹乡"
712447,7124,2,"潮州","c","chao zhou","712447000000","潮州镇"
712448,7124,2,"泰武","t","tai wu","712448000000","泰武乡"
712449,7124,2,"来义","l","lai yi","712449000000","来义乡"
712450,7124,2,"万峦","w","wan luan","712450000000","万峦乡"
712451,7124,2,"崁顶","k","kan ding","712451000000","崁顶乡"
712452,7124,2,"新埤","x","xin pi","712452000000","新埤乡"
712453,7124,2,"南州","n","nan zhou","712453000000","南州乡"
712454,7124,2,"林边","l","lin bian","712454000000","林边乡"
712455,7124,2,"东港","d","dong gang","712455000000","东港镇"
712456,7124,2,"琉球","l","liu qiu","712456000000","琉球乡"
712457,7124,2,"佳冬","j","jia dong","712457000000","佳冬乡"
712458,7124,2,"新园","x","xin yuan","712458000000","新园乡"
712459,7124,2,"枋寮","f","fang liao","712459000000","枋寮乡"
712460,7124,2,"枋山","f","fang shan","712460000000","枋山乡"
712461,7124,2,"春日","c","chun ri","712461000000","春日乡"
712462,7124,2,"狮子","s","shi zi","712462000000","狮子乡"
712463,7124,2,"车城","c","che cheng","712463000000","车城乡"
712464,7124,2,"牡丹","m","mu dan","712464000000","牡丹乡"
712465,7124,2,"恒春","h","heng chun","712465000000","恒春镇"
712466,7124,2,"满州","m","man zhou","712466000000","满州乡"
7125,71,1,"台东","t","tai dong","712500000000","台东县"
712517,7125,2,"台东市","t","tai dong shi","712517000000","台东市"
712518,7125,2,"绿岛","l","lv dao","712518000000","绿岛乡"
712519,7125,2,"兰屿","l","lan yu","712519000000","兰屿乡"
712520,7125,2,"延平","y","yan ping","712520000000","延平乡"
712521,7125,2,"卑南","b","bei nan","712521000000","卑南乡"
712522,7125,2,"鹿野","l","lu ye","712522000000","鹿野乡"
712523,7125,2,"关山","g","guan shan","712523000000","关山镇"
712524,7125,2,"海端","h","hai duan","712524000000","海端乡"
712525,7125,2,"池上","c","chi shang","712525000000","池上乡"
712526,7125,2,"东河","d","dong he","712526000000","东河乡"
712527,7125,2,"成功","c","cheng gong","712527000000","成功镇"
712528,7125,2,"长滨","c","chang bin","712528000000","长滨乡"
712529,7125,2,"金峰","j","jin feng","712529000000","金峰乡"
712530,7125,2,"大武","d","da wu","712530000000","大武乡"
712531,7125,2,"达仁","d","da ren","712531000000","达仁乡"
712532,7125,2,"太麻里","t","tai ma li","712532000000","太麻里乡"
7126,71,1,"花莲","h","hua lian","712600000000","花莲县"
712615,7126,2,"花莲市","h","hua lian shi","712615000000","花莲市"
712616,7126,2,"新城","x","xin cheng","712616000000","新城乡"
712618,7126,2,"秀林","x","xiu lin","712618000000","秀林乡"
